"id","player","pos","team","avg_projection","overall_ecr","adp_average","CBS","ESPN","FFToday","FanDuel","FantasyPros","FantasySharks","RTSports","adp_yahoo","adp_espn"
"15754","Chris Olave","WR","NOS",234.01,17.43,31.1,291.4,252.5,253.7,251.68,260.74,14.69,287.2,31.1,29.5
"15794","Trey McBride","TE","ARI",232.7,19.01,27.3,276.5,240.3,250.9,274.07,260.62,16.61,282.8,27.3,23.1
"16148","Bryce Young","QB","CAR",230.21,168,121.5,259.42,240.78,243.1,241.26,NA,19.44,270.42,121.5,168.9
"15711","Kenneth Walker III","RB","KCC",228.84,24.94,15.3,249.5,275.5,257.9,252.34,256.8,11.2,276.3,15.3,24.8
"17042","Ashton Jeanty","RB","LVR",227.17,28.64,17.9,242.5,280.4,262.3,236.42,NA,15.8,329.6,17.9,21.8
"15762","George Pickens","WR","DAL",218.55,20.54,22.5,291.3,239.5,226.2,255.32,NA,14.81,284.2,22.5,28.2
"17044","Omarion Hampton","RB","LAC",217.39,25.25,18.1,235.4,262.8,267.5,234.02,NA,13.7,294.9,18.1,18
"14059","Daniel Jones","QB","IND",215.56,146.17,127.2,274.48,274.5,253.32,268.82,NA,20.06,112.64,127.2,160.5
"15290","Nico Collins","WR","HOU",214.39,16.48,21.5,266,249.8,239.6,250.32,NA,14.1,270.5,21.5,25.8
"16190","Zay Flowers","WR","BAL",213.81,29.69,35.6,257.3,234.7,232.6,286.77,NA,14.3,265.6,35.6,44.1
"12616","Jacoby Brissett","QB","ARI",212.9,196.53,NA,246.92,203.08,225.6,265.4,NA,19.76,240.4,NA,169.9
"17030","Cam Ward","QB","TEN",212.33,159.69,124,230.28,230.38,227.18,228.16,NA,17.48,264.04,124,169.2
"15708","Breece Hall","RB","NYJ",211.48,39.91,34.6,222.4,278.3,245.5,253.2,NA,10.9,267,34.6,36
"16641","Brock Bowers","TE","LVR",211.47,21.21,21,240.2,242.4,253.8,209.64,233.44,14.3,257,21,23.9
"7836","Aaron Rodgers","QB","PIT",206.85,212.34,115.8,204.04,224.8,229.96,243.75,NA,17.4,240.06,115.8,169.2
"11150","Geno Smith","QB","NYJ",206.19,225.13,NA,211.18,236.96,222.46,213.86,NA,10.38,205.6,NA,170
"15753","Garrett Wilson","WR","NYJ",203.63,30.3,47.7,236.8,248.7,245.5,220.45,NA,15.41,258.9,47.7,37.1
"15256","Javonte Williams","RB","DAL",202.81,42.94,33.5,233.5,263.1,233.3,206.15,NA,13,276.2,33.5,32.7
"15253","Travis Etienne","RB","NOS",201.89,45.24,41.9,241.4,246,226.9,223.92,NA,13.5,263.6,41.9,40.3
"17472","Jeremiyah Love","RB","ARI",201.66,40.79,29.8,223.8,279.5,259.9,176.36,NA,11,271.8,29.8,25.8
"15282","DeVonta Smith","WR","PHI",200.59,22.73,29.5,241.8,239.9,231.2,226.24,NA,15.1,249.3,29.5,36.5
"17045","Cam Skattebo","RB","NYG",199.85,56.1,42.4,242.8,227.4,237.4,236.51,NA,15.3,248.1,42.4,45.1
"15710","Kyren Williams","RB","LAR",196.52,42.06,27.9,229.9,234.3,247.6,201.13,NA,14.8,259.8,27.9,34.9
"17071","Tetairoa McMillan","WR","CAR",194.39,36.72,41.9,245.2,237.2,222.1,188.95,NA,14.9,262.4,41.9,42.5
"17081","Emeka Egbuka","WR","TBB",190.76,41.17,45.7,232.8,225.9,224.6,190.33,NA,13.1,257.8,45.7,45
"14835","Tee Higgins","WR","CIN",190.19,37.02,33.6,243.5,216.5,203.6,217.83,NA,14.9,244.8,33.6,51.7
"16598","Bucky Irving","RB","TBB",188.86,55.87,53.9,238.8,207.5,216,192.55,NA,13,269.7,53.9,56.8
"11675","Davante Adams","WR","LAR",188.3,51.21,56.9,213.9,235.4,221.1,224.27,NA,14,221.1,56.9,46.1
"17051","Quinshon Judkins","RB","CLE",187.43,60.15,54.6,216.6,226.8,208.3,190.6,NA,9.5,276.8,54.6,48.4
"15756","Jameson Williams","WR","DET",187.08,54.83,65.5,223.3,213.1,221,208.56,NA,13.5,243,65.5,64.2
"16615","Malik Nabers","WR","NYG",186.77,24.5,30.3,249.6,242.1,230.7,114.72,NA,14.4,269.1,30.3,35.3
